Story Name,Sentence ID,Sentence,Annotator 1,Annotator 2,Annotator 3
শেয়াল-দেবতা রহস্য,27,গোয়েন্দারা যতই আত্মগোপন করে থাকতে পারে ততই তাদের লাভ।,Backstory / Exposition,Narration / Observation,Backstory / Exposition
শেয়াল-দেবতা রহস্য,28,‘ফোনটা কে করল জানতে খুব ইচ্ছে করছে বোধহয়?’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,29,এটা ফেলুদার একটা কায়দা।,Narration / Observation,Narration / Observation,Narration / Observation
শেয়াল-দেবতা রহস্য,30,"ও যখনই বুঝতে পারে আমার কোনও একটা জিনিস জানবার খুব আগ্রহ, তখনই সেটা চট করে না-বলে আগে একটা সাসপেন্স তৈরি করে।",Suspense / Tension,Suspense / Tension,Suspense / Tension
শেয়াল-দেবতা রহস্য,31,"সেটা আমি জানি বলেই বিশেষ উৎসাহ না দেখিয়ে বললাম, ‘ফোনটার সঙ্গে যদি কোনও রহস্যের ব্যাপার জড়িয়ে থাকে তা হলে জানতে ইচ্ছে করে বৈকি।’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,32,"ফেলুদা গেঞ্জির উপর তার সবুজ ডোরাকাটা শার্টটা চাপিয়ে নিয়ে বলল, ‘লোকটার নাম নীলমণি সান্যাল।",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,33,রোল্যান্ড রোডে থাকে।,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,34,বিশেষ জরুরি দরকার আমাকে ডেকে পাঠিয়েছে।’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,35,‘কী দরকার বলেনি?’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,36,‘না।,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,37,সেটা ফোনে বলতে চায় না।,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,38,তবে গলা শুনে মনে হল ঘাবড়েছে।’,Detective Reasoning / Deduction,Detective Reasoning / Deduction,Detective Reasoning / Deduction
শেয়াল-দেবতা রহস্য,39,‘কখন যেতে হবে?’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,40,‘ট্যাক্সিতে করে যেতে মিনিট দশেক লাগবে।,Travel / Movement,Travel / Movement,Travel / Movement
শেয়াল-দেবতা রহস্য,41,ন’টায় অ্যাপয়েন্টমেন্ট।,Backstory / Exposition,Backstory / Exposition,Travel / Movement
শেয়াল-দেবতা রহস্য,42,সুতরাং আর দু’মিনিটের মধ্যে বেরিয়ে পড়া উচিত।’,Travel / Movement,Travel / Movement,Travel / Movement
শেয়াল-দেবতা রহস্য,43,"ট্যাক্সি করে নীলমণি সান্যালের বাড়ি যেতে যেতে ফেলুদাকে বললাম, ‘অনেক রকম তো দুষ্টু লোক থাকে; ধরো নীলমণিবাবুর যদি কোনওরকম বিপদ না হয়ে থাকে—তিনি যদি শুধু তোমাকে প্যাঁচে ফেলার জন্যই ডেকে থাকেন।’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,44,"ফেলুদা রাস্তার দিক থেকে চোখ না সরিয়ে বলল, ‘সে রিস্ক তো থাকেই।",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,45,"তবে সেরকম লোক বাড়িতে ডেকে নিয়ে প্যাঁচে ফেলবে না, কারণ সেটা তাদের পক্ষেও রিস্কি হয়ে যাবে।",Detective Reasoning / Deduction,Detective Reasoning / Deduction,Detective Reasoning / Deduction
শেয়াল-দেবতা রহস্য,46,সে সব কাজের জন্য অল্প টাকায় ভাড়াটে গুণ্ডার কোনও অভাব নেই।’,Crime / Threat / Violence,Crime / Threat / Violence,Crime / Threat / Violence
শেয়াল-দেবতা রহস্য,47,একটা কথা বলা হয়নি—ফেলুদা গত বছর অল ইন্ডিয়া রাইফল কম্পিটিশনে ফার্স্ট হয়েছে।,Character Description,Backstory / Exposition,Character Description
শেয়াল-দেবতা রহস্য,48,মাত্র তিনমাস বন্দুক শিখেই ওর যা টিপ হয়েছিল সে একেবারে থ মেরে যাবার মতো।,Character Description,Character Description,Character Description
শেয়াল-দেবতা রহস্য,49,"ফেলুদার এখন বন্দুক রিভলভার দুই-ই আছে, তবে বইয়ের ডিটেকটিভের মতো ও সারাক্ষণ রিভলভার নিয়ে ঘোরে না।",Character Description,Character Description,Character Description
শেয়াল-দেবতা রহস্য,50,"সত্যি বলতে কী, এখন পর্যন্ত ফেলুদাকে ও দুটোর একটাও ব্যবহার করতে হয়নি; তবে কোনওদিন যে হবে না সে কথা কী করে বলব?",Suspense / Tension,Suspense / Tension,Suspense / Tension
শেয়াল-দেবতা রহস্য,51,"ট্যাক্সি যখন ম্যাডক স্কোয়ারের কাছাকাছি এসেছে, তখন জিজ্ঞেস করলাম, ‘ভদ্রলোক কী করেন সেটা জানো?’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,52,"ফেলুদা বলল, ‘ভদ্রলোক পান খান, বোধহয় কানে একটু কম শোনেন, “ইয়ে” শব্দটা একটু বেশি ব্যবহার করেন, আর অল্প সর্দিতে ভুগছেন—এ ছাড়া আর কিছুই জানি না।’",Character Description,Character Description,Detective Reasoning / Deduction
শেয়াল-দেবতা রহস্য,53,এর পরে আর আমি কিছু জিজ্ঞেস করিনি।,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,54,নীলমণি সান্যালের বাড়িতে পৌঁছতে ট্যাক্সিভাড়া উঠল এক টাকা সত্তর পয়সা।,Travel / Movement,Travel / Movement,Travel / Movement
শেয়াল-দেবতা রহস্য,55,একটা দু’টাকার নোট বার করে ট্যাক্সিওয়ালার হাতে দিয়ে ফেলুদা হাতের একটা কায়দার ভঙ্গিতে বুঝিয়ে দিল যে তার চেঞ্জ ফেরত চাই না।,Narration / Observation,Travel / Movement,Narration / Observation
শেয়াল-দেবতা রহস্য,56,গাড়ি থেকে নেমে পোর্টিকোর তলা দিয়ে গিয়ে সামনের দরজায় পৌঁছে কলিং বেল টেপা হল।,Travel / Movement,Travel / Movement,Travel / Movement
শেয়াল-দেবতা রহস্য,57,"দোতলা বাড়ি, তবে খুব যে বড় তাও নয়, আর খুব পুরনোও নয়।",Setting / Scene Description,Setting / Scene Description,Setting / Scene Description
শেয়াল-দেবতা রহস্য,58,"সামনের দিকে একটা বাগানও আছে, তবে সেটা খুব বাহারের কিছু নয়।",Setting / Scene Description,Setting / Scene Description,Setting / Scene Description
শেয়াল-দেবতা রহস্য,59,একজন দারোয়ান গোছের লোক এসে ফেলুদার কাছ থেকে ভিজিটিং কার্ড নিয়ে আমাদের বৈঠকখানায় বসতে বলল।,Narration / Observation,Investigation Action,Narration / Observation
শেয়াল-দেবতা রহস্য,60,ঘরে ঢুকে চারিদিকে তাকিয়ে বেশ তাক লেগে গেল।,Setting / Scene Description,Setting / Scene Description,Setting / Scene Description
শেয়াল-দেবতা রহস্য,61,"সোফা, টেবিল, ফুলদানি, ছবি, কাচের আলমারিতে সাজানো নানারকম সুন্দর পুরনো জিনিস-টিনিস মিলিয়ে বেশ একটা জমকালো ভাব।",Setting / Scene Description,Setting / Scene Description,Setting / Scene Description
শেয়াল-দেবতা রহস্য,62,মনে হয় অনেক খরচ করে মাথা খাটিয়ে এসব জিনিস কিনে সাজানো হয়েছে।,Setting / Scene Description,Setting / Scene Description,Setting / Scene Description
শেয়াল-দেবতা রহস্য,63,ফেলুদা নিজেই উঠে পাখার রেগুলেটারটা ঘোরানোর সঙ্গে সঙ্গেই একজন ভদ্রলোক এসে ঢুকলেন।,Character Introduction,Character Introduction,Character Introduction
শেয়াল-দেবতা রহস্য,64,"গায়ে স্লিপিং সুটের পায়জামার উপর একপাশে বোতামওয়ালা আদ্দির পাঞ্জাবি, পায়ে হরিণের চামড়ার চটি, আর দু’হাতের আঙুলে অনেকগুলো আংটি।",Character Description,Character Description,Character Description
শেয়াল-দেবতা রহস্য,65,"হাইট মাঝারি, দাড়ি গোঁফ কামানো, মাথায় চুল বেশি নেই, রং মোটামুটি ফর্সা, আর চোখ দুটো ঢুলুঢুলু—দেখলে মনে হয় এই বুঝি ঘুম থেকে উঠে এলেন।",Character Description,Character Description,Character Description
শেয়াল-দেবতা রহস্য,66,বয়স কত হবে?,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,67,পঞ্চাশের বেশি নয়।,Character Description,Character Description,Character Description
শেয়াল-দেবতা রহস্য,68,‘আপনারই নাম প্রদোষ মিত্তির?’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,69,জিজ্ঞেস করলেন।,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,70,‘আপনি যে এত ইয়াং সেটা জানা ছিল না।’,Character Description,Dialogue,Character Description
শেয়াল-দেবতা রহস্য,71,"ফেলুদা একটু হেঁ হেঁ করে আমার দিকে দেখিয়ে বললেন, এটি আমার খুড়তুতো ভাই।",Character Introduction,Character Introduction,Character Introduction
শেয়াল-দেবতা রহস্য,72,খুব বুদ্ধিমান ছেলে।,Character Description,Character Description,Character Description
শেয়াল-দেবতা রহস্য,73,আপনি চাইলে আমাদের কথাবার্তার সময় আমি ওকে বাইরে পাঠিয়ে দিতে পারি।’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,74,আমার বুকটা ধুকপুক করে উঠল।,Emotional Reaction,Emotional Reaction,Emotional Reaction
শেয়াল-দেবতা রহস্য,75,"কিন্তু ভদ্রলোক আমার দিকে একবার চোখ বুলিয়ে নিয়েই বললেন, ‘কেন, থাকুন না—কোনও ক্ষতি নেই।’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,76,"তারপর ফেলুদার দিকে ফিরে বললেন, ‘ইয়ে—আপনারা কিছু খাবেন-টাবেন?",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,77,চা বা কফি?,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,78,‘নাঃ।,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,79,এই সবে চা খেয়ে বেরিয়েছি।’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,80,"‘বেশ, তা হলে আর সময় নষ্ট না করে কেন ডেকেছি সেইটে বলি।",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,81,তবে তার আগে আমার নিজের পরিচয়টা একটু দিই।,Character Introduction,Character Introduction,Character Introduction
শেয়াল-দেবতা রহস্য,82,বুঝতেই পারছেন আমি একজন সৌখিন লোক।,Character Description,Character Description,Character Description
শেয়াল-দেবতা রহস্য,83,পয়সাকড়িও কিছু আছে সেটাও নিশ্চয়ই অনুমান করছেন।,Character Description,Backstory / Exposition,Character Description
শেয়াল-দেবতা রহস্য,84,"তবে বললে বিশ্বাস করবেন না, আমি চাকরিও করি না, ব্যবসাও করি না, বা বাপের সম্পত্তিও এক পয়সাও পাইনি।’",Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,85,নীলমণিবাবু রহস্য করার ভাব করে চুপ করলেন।,Suspense / Tension,Suspense / Tension,Suspense / Tension
শেয়াল-দেবতা রহস্য,86,"ফেলুদা বলল, ‘তা হলে কি লটারি?’",Detective Reasoning / Deduction,Detective Reasoning / Deduction,Detective Reasoning / Deduction
শেয়াল-দেবতা রহস্য,87,‘আজ্ঞে?’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,88,‘বলছিলাম—তা হলে কি কখনও লটারি-টটারি জিতেছিলেন?’,Investigation Action,Investigation Action,Investigation Action
শেয়াল-দেবতা রহস্য,89,‘এগজ্যাক্টলি!’,Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,90,ভদ্রলোক প্রায় ছেলেমানুষের মতো চেঁচিয়ে উঠলেন।,Emotional Reaction,Emotional Reaction,Emotional Reaction
শেয়াল-দেবতা রহস্য,91,‘এগারো বছর আগে রেঞ্জার্স লটারি জিতে এক ধাক্কায় পেয়ে যাই প্রায় আড়াই লাখ টাকা।,Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,92,"তারপর সেই টাকা দিয়ে, খানিকটা বুদ্ধি আর খানিকটা ভাগ্যের জোরে, বেশ ভালভাবেই চালিয়ে এসেছি।",Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,93,বাড়িটা তৈরি করি বছর আষ্টেক আগে।,Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,94,"আপনি হয়তো ভাবছেন, এরকম অকেজোভাবে একটা মানুষ বেঁচে থাকে কী করে; কিন্তু আসলে একটা কাজ আমার কাছে—একটাই কাজ—সেটা হল, অকশান থেকে এইসব জিনিসপত্র কিনে ঘর সাজানো!’",Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,95,ভদ্রলোক তাঁর ডান হাতটি বাড়িয়ে চারিদিকের সাজানো জিনিসপত্রগুলোর দিকে দেখিয়ে দিলেন।,Narration / Observation,Setting / Scene Description,Narration / Observation
শেয়াল-দেবতা রহস্য,96,"তারপর বললেন— ‘যে ঘটনাটা ঘটেছে তার সঙ্গে আমার এইসব আর্টিস্টিক জিনিসপত্তরের কোনও সম্পর্ক আছে কি না জানি না, কিন্তু আমার মনে সন্দেহ হয় যে হয়তো থাকতেও পারে।",Detective Reasoning / Deduction,Detective Reasoning / Deduction,Detective Reasoning / Deduction
শেয়াল-দেবতা রহস্য,97,এই যে—’ নীলমণিবাবু তাঁর পাঞ্জাবির পকেটে হাত ঢুকিয়ে কয়েকটা কাগজের টুকরো বার করে ফেলুদার দিকে এগিয়ে দিলেন।,Clue / Evidence,Investigation Action,Clue / Evidence
শেয়াল-দেবতা রহস্য,98,ফেলুদার সঙ্গে সঙ্গে আমিও কাগজগুলো দেখে নিলাম।,Investigation Action,Clue / Evidence,Investigation Action
শেয়াল-দেবতা রহস্য,99,"তিনটে কাগজ, তার প্রত্যেকটাতেই লেখার বদলে লাইন করে ছোট ছোট ছবি আঁকা।",Clue / Evidence,Clue / Evidence,Clue / Evidence
শেয়াল-দেবতা রহস্য,100,"সেই ছবির মধ্যে কিছু কিছু বেশ বোঝা যায়—যেমন, প্যাঁচা, চোখ, সাপ, সূর্য—এইসব।",Clue / Evidence,Clue / Evidence,Clue / Evidence
শেয়াল-দেবতা রহস্য,101,"আমার কেমন যেন ব্যাপারটাকে দেখা দেখা বলে মনে হচ্ছিল, এমন সময় ফেলুদা বলল, ‘এসব তো হিয়োরোগ্লিফিক লেখা বলে মনে হচ্ছে।’",Detective Reasoning / Deduction,Detective Reasoning / Deduction,Detective Reasoning / Deduction
শেয়াল-দেবতা রহস্য,102,"ভদ্রলোক একটু থতমত খেয়ে বললেন, ‘আজ্ঞে?’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,103,"ফেলুদা বলল, ‘প্রাচীনকালে ঈজিপ্সিয়ানরা যে লেখা বার করেছিল, এটা সেই জিনিস বলে মনে হচ্ছে।’",Detective Reasoning / Deduction,Detective Reasoning / Deduction,Dialogue
শেয়াল-দেবতা রহস্য,104,"ভদ্রলোক একটু থতমত খেয়ে বললেন, ‘আজ্ঞে?’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,105,"ফেলুদা বলল, ‘প্রাচীনকালে ঈজিপ্সিয়ানরা যে লেখা বার করেছিল, এটা সেই জিনিস বলে মনে হচ্ছে।’",Detective Reasoning / Deduction,Detective Reasoning / Deduction,Dialogue
শেয়াল-দেবতা রহস্য,106,‘তাই বুঝি?’,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,107,‘হুঁ।,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,108,তবে এ লেখা পড়তে পারে এমন লোক কলকাতায় আছে কি না সন্দেহ।,Detective Reasoning / Deduction,Detective Reasoning / Deduction,Narration / Observation
শেয়াল-দেবতা রহস্য,109,"ভদ্রলোক যেন একটু মুষড়ে পড়ে বললেন, ‘তা হলে?",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,110,"যে জিনিস দু’দিন অন্তর অন্তর ডাকে আমার নামে আসছে, তার মানে না করতে পারলে তো ভারী অস্বস্তিকর ব্যাপার হবে।",Clue / Evidence,Clue / Evidence,Narration / Observation
শেয়াল-দেবতা রহস্য,111,"ধরুন যদি এগুলো সাংকেতিক হুমকি হয়—কেউ হয়তো আমাকে খুন করতে চাইছে, আর তার আগে আমাকে শাসাচ্ছে।’",Crime / Threat / Violence,Crime / Threat / Violence,Crime / Threat / Violence
শেয়াল-দেবতা রহস্য,112,"ফেলুদা একটুক্ষণ চুপ করে থেকে বলল, ‘আপনার যে সমস্ত জিনিসপত্র সাজানো রয়েছে—তার মধ্যে ঈজিপ্সিয়ান কিছু আছে?’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,113,"নীলমণিবাবু হেসে বললেন, ‘দেখুন, আমার কোন জিনিস কোথাকার, সেটা আমি নিজেই ঠিক ভালভাবে জানি না।",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,114,"আমি কিনি, কারণ আমার পয়সা আছে এবং আর পাঁচজন সৌখিন লোককে এসব জিনিস কিনতে দেখেছি, তাই।’",Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,115,‘কিন্তু আপনার এত জিনিসের মধ্যে একটিকেও তো খেলো বলে মনে হচ্ছে না।,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,116,"যারা শুধু এগুলো দেখবে, তারা তো আপনাকে রীতিমতো সমঝদার লোক বলে মনে করবে।’",Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,117,"ভদ্রলোক হেসে বললেন, ‘ওটা কী জানেন?",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,118,এসব ব্যাপারে সচরাচর জিনিস ভাল হলেই তার দাম বেশি হয়।,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,119,"টাকা যখন আছে, তখন আমি সেরা জিনিসটা কিনব না কেন!",Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,120,"অনেক ভারী ভারী খদ্দেরের উপরে টেক্কা দিয়ে নীলাম থেকে এসব কিনেছি মশাই, কাজেই ভাল জিনিস আমার কাছে থাকাটা কিছু আশ্চর্য নয়।",Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,121,‘কিন্তু মিশরের জিনিস কিছু আছে কিনা জানেন না?’,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,122,নীলমণিবাবু সোফা ছেড়ে উঠে একটা কাচের আলমারির দিকে গিয়ে তার উপরের তাক থেকে একটা বিঘতখানেক লম্বা মূর্তি নামিয়ে এনে সেটা ফেলুদার হাতে দিলেন।,Travel / Movement,Travel / Movement,Travel / Movement
শেয়াল-দেবতা রহস্য,123,"সবুজ পাথরের মূর্তি, তার গায়ে আবার নানা রঙের ঝলমলে পাথর বসানো।",Setting / Scene Description,Setting / Scene Description,Setting / Scene Description
শেয়াল-দেবতা রহস্য,124,দু’-এক জায়গায় যেন সোনাও রয়েছে।,Setting / Scene Description,Setting / Scene Description,Setting / Scene Description
শেয়াল-দেবতা রহস্য,125,"তবে আশ্চর্য এই যে, মূর্তিটির শরীর মানুষের মতো হলেও, তার মুখটা শেয়ালের মতো।",Setting / Scene Description,Setting / Scene Description,Setting / Scene Description
শেয়াল-দেবতা রহস্য,126,‘এটা দিন দশেক আগে কিনেছি অ্যারাটুন ব্রাদার্সের একটা নীলাম থেকে।,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,127,"এটা বোধহয়—’ ফেলুদা মূর্তিটায় একবার চোখ বুলিয়েই বলল, ‘আনুবিস।’",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,128,‘আনুবিস?,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,129,সে আবার কী?’,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,132,…চমৎকার জিনিস পেয়েছেন এটা।’,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,133,‘কিন্তু—’ ভদ্রলোকের গলায় ভয়ের সুর ‘—এই মূর্তি আর এইসব চিঠির মধ্যে কোনও সম্পর্ক আছে কি?,Suspense / Tension,Suspense / Tension,Suspense / Tension
শেয়াল-দেবতা রহস্য,134,আমি কি এটা কিনে ভুল করলাম?,Suspense / Tension,Suspense / Tension,Narration / Observation
শেয়াল-দেবতা রহস্য,135,কেউ কি এটা আমার কাছ থেকে ছিনিয়ে নেবে বলে শাসাচ্ছে?’,Crime / Threat / Violence,Crime / Threat / Violence,Crime / Threat / Violence
শেয়াল-দেবতা রহস্য,136,"ফেলুদা মাথা নেড়ে বলল, ‘সেটা বলা মুশকিল।",Dialogue,Dialogue,Dialogue
শেয়াল-দেবতা রহস্য,137,চিঠিগুলো কবে থেকে পেতে শুরু করেছেন?’,Investigation Action,Investigation Action,Narration / Observation
শেয়াল-দেবতা রহস্য,138,‘গত সোমবার থেকে।’,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,139,"‘অর্থাৎ, মূর্তিটা কেনার ঠিক পর থেকেই?’",Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,140,‘হ্যাঁ।’,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,141,‘খামগুলো আছে?’,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,142,"‘না, ফেলে দিয়েছি।",Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,143,"রেখে দেওয়া হয়তো উচিত ছিল—তবে খুবই সাধারণ খাম, সাধারণ টাইপরাইটারে ঠিকানা লেখা পোস্টঅফিস এলগিন রোড।’",Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,144,‘ঠিক আছে।’,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,145,ফেলুদা উঠে পড়ল।,Travel / Movement,Travel / Movement,Travel / Movement
শেয়াল-দেবতা রহস্য,146,‘আপাতত কিছু করার আছে বলে মনে হয় না।,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,147,শুধু সেফ সাইডে থাকার জন্য মূর্তিটাকে ওই আলমারিতে না রেখে আপনার হাতের কাছে রাখবেন।,Dialogue,Dialogue,Narration / Observation
শেয়াল-দেবতা রহস্য,148,সম্প্রতি একজনদের বাড়ি থেকে এ ধরনের কিছু জিনিস চুরি হয়েছিল।’,Backstory / Exposition,Backstory / Exposition,Backstory / Exposition
শেয়াল-দেবতা রহস্য,149,‘তাই বুঝি?’,Dialogue,Dialogue,Narration / Observation
